Date/Time,Word Count,en-US,fr-FR
2024.06.13-15.32.49,258,258,0
2024.06.13-15.39.13,171,171,0
2024.06.13-16.06.43,164,164,0
2024.06.13-16.09.46,160,160,0
2024.06.13-16.13.37,154,154,0
2024.06.13-16.15.13,151,151,0
2024.06.13-16.20.42,148,148,0
2024.06.13-16.45.09,148,148,9
2024.06.13-16.55.19,148,148,63
2024.06.13-17.06.57,148,148,136
2024.06.13-17.09.51,147,147,144
2024.06.13-17.12.20,147,147,147
2024.06.13-17.55.50,147,147,143
2024.06.13-17.56.49,147,147,147
2024.06.13-17.59.49,175,175,147
2024.06.13-18.02.37,175,175,175
